ID,Residence_Type,ECF,Street Address,Sale_Date,Price,Type,Class,Year_Built,Square_Feet,Basement_Square_Feet,Basement_Finished_Recreation,Basement_Finished_Living,Full_Baths,Half_Baths,Price_per_sqft
C0301_03-227-036_24,Condo,C0301,802 Sandalwood ,3/7/2019,255000,Colonial,C,2003,2058,0,0,0,3,1,123.91
C0301_03-226-073_25,Condo,C0301,806 Red Run ,11/9/2018,272500,Colonial,C,2004,2161,0,0,0,3,1,126.10
C0301_03-226-075_26,Condo,C0301,798 Red Run ,7/27/2017,288000,Colonial,C,2004,2161,0,0,0,3,1,133.27
C0301_03-226-095_27,Condo,C0301,780 Paint Creek ,9/8/2017,287000,Colonial,C,2004,2161,0,0,0,3,1,132.81
C0301_03-227-039_28,Condo,C0301,818 Sandalwood ,10/31/2017,275000,Colonial,C,2002,2161,0,0,0,3,1,127.26
C0301_03-227-049_29,Condo,C0301,942 Sandalwood ,6/6/2018,282500,Colonial,C,2002,2161,0,0,0,3,1,130.73
C0301_03-227-053_30,Condo,C0301,958 Sandalwood ,11/17/2017,267000,Colonial,C,2002,2161,0,0,0,3,1,123.55
C0301_03-227-053_31,Condo,C0301,958 Sandalwood ,7/27/2018,293000,Colonial,C,2002,2161,0,0,0,3,1,135.59
C0801_08-376-137_32,Condo,C0801,1583 Brentwood ,7/2/2018,183000,Colonial,CD,1971,1157,574,250,0,1,1,158.17
C0801_08-376-359_33,Condo,C0801,1726 Brentwood ,1/11/2019,172000,Colonial,CD,1971,1157,574,0,0,1,1,148.66
C0801_08-133-004_34,Condo,C0801,5765 N'field Pkwy ,4/23/2018,188000,Colonial,CD,1971,1167,574,0,0,1,1,161.10
C0801_08-326-031_35,Condo,C0801,5304 Breeze Hill ,5/7/2018,188000,Colonial,CD,1971,1167,574,300,0,1,1,161.10
C0801_08-326-033_36,Condo,C0801,5300 Breeze Hill ,6/18/2018,198000,Colonial,CD,1971,1167,574,0,0,1,1,169.67
C0801_08-376-028_37,Condo,C0801,1578 Brentwood ,4/3/2017,190000,Colonial,CD,1971,1167,574,0,0,1,1,162.81
C0801_08-376-044_38,Condo,C0801,1561 Brentwood ,6/26/2017,179000,Colonial,CD,1971,1167,574,0,0,1,1,153.38
C0801_08-376-208_39,Condo,C0801,1785 Brentwood ,3/26/2018,192000,Colonial,CD,1971,1167,574,300,0,1,1,164.52
C0801_08-376-215_40,Condo,C0801,1803 Brentwood ,6/12/2017,175000,Colonial,CD,1971,1167,574,0,0,1,1,149.96
C0801_08-376-277_41,Condo,C0801,5183 Buckingham ,7/19/2018,198000,Colonial,CD,1971,1167,574,0,0,1,1,169.67
C0801_08-133-043_42,Condo,C0801,5717 Whitfield ,1/16/2019,193000,Colonial,CD,1971,1254,572,0,0,1,1,153.91
C0801_08-376-157_43,Condo,C0801,1625 Brentwood ,6/30/2017,192000,Colonial,CD,1971,1254,572,0,0,1,1,153.11
C0801_08-326-035_44,Condo,C0801,5296 Breeze Hill ,9/8/2017,212500,Colonial,CD,1971,1312,656,300,0,1,1,161.97
C0801_08-327-041_45,Condo,C0801,1646 Brentwood ,3/15/2018,190000,Colonial,CD,1971,1312,656,0,0,1,1,144.82
C0801_08-326-026_46,Condo,C0801,5314 Breeze Hill ,9/13/2017,221000,Colonial,CD,1971,1404,636,300,0,2,1,157.41
C0801_08-376-025_47,Condo,C0801,1584 Brentwood ,2/2/2018,242000,Colonial,CD,1971,1404,636,0,0,2,1,172.36
C0801_08-376-025_48,Condo,C0801,1584 Brentwood ,10/19/2018,261900,Colonial,CD,1971,1404,636,0,0,2,1,186.54
C0801_08-376-031_49,Condo,C0801,1572 Brentwood ,5/22/2017,225000,Colonial,CD,1971,1404,636,0,0,2,1,160.26
C0801_08-376-073_50,Condo,C0801,1687 Brentwood ,6/7/2018,255500,Colonial,CD,1971,1404,636,300,0,2,1,181.98
C0801_08-376-118_51,Condo,C0801,1530 Brentwood ,4/10/2018,257000,Colonial,CD,1971,1404,636,0,0,2,1,183.05
C0801_08-376-183_52,Condo,C0801,1747 Brentwood ,12/4/2017,210000,Colonial,CD,1971,1410,700,300,0,1,1,148.94
C0801_08-376-314_53,Condo,C0801,5103 Buckingham ,5/31/2018,215000,Colonial,CD,1971,1440,700,300,0,1,1,149.31
C0801_08-133-006_54,Condo,C0801,5761 N'field Pkwy ,7/3/2018,240000,Colonial,CD,1971,1487,705,0,0,2,1,161.40
C0801_08-376-087_55,Condo,C0801,1488 Brentwood ,8/24/2018,270000,Colonial,CD,1971,1487,705,300,0,2,1,181.57
